;mpg;cylinders;displacement;horsepower;weight;acceleration;model_year;origin;car_name
0;18.0;8;307.0;130.0;3504.;12.0;70;1;"chevrolet chevelle malibu"
1;15.0;8;350.0;165.0;3693.;11.5;70;1;"buick skylark 320"
2;18.0;8;318.0;150.0;3436.;11.0;70;1;"plymouth satellite"
3;16.0;8;304.0;150.0;3433.;12.0;70;1;"amc rebel sst"
4;17.0;8;302.0;140.0;3449.;10.5;70;1;"ford torino"
5;15.0;8;429.0;198.0;4341.;10.0;70;1;"ford galaxie 500"
6;14.0;8;454.0;220.0;4354.;9.0 ;70;1;"chevrolet impala"
7;14.0;8;440.0;215.0;4312.;8.5 ;70;1;"plymouth fury iii"
8;14.0;8;455.0;225.0;4425.;10.0;70;1;"pontiac catalina"
9;15.0;8;390.0;190.0;3850.;8.5 ;70;1;"amc ambassador dpl"
10;15.0;8;383.0;170.0;3563.;10.0;70;1;"dodge challenger se"
11;14.0;8;340.0;160.0;3609.;8.0 ;70;1;"plymouth 'cuda 340"
12;15.0;8;400.0;150.0;3761.;9.5 ;70;1;"chevrolet monte carlo"
13;14.0;8;455.0;225.0;3086.;10.0;70;1;"buick estate wagon (sw)"
14;24.0;4;113.0;95.00;2372.;15.0;70;3;"toyota corona mark ii"
